Database Name,Leak Date,Size,What's Inside,Description
Valkyrie WOW,2015-03,"157,331",,
Host Hatch,0000-00,"20,646",,
Deathaddict.com (VB Exploit),2016-11,"3,373",,
campgroundmaster.com (VB Exploit),2016-11,"1,116",,
forum.Keypublishing.com (VB Exploit),2016-11,"45,670",,
GamerzPlanet.net,2015-10,"1,215,132",,
H1Z1 Forum,2017-03-06,"10,744",,
Anstalten.nu,2012-08,"212,677",,
veganforum.com (VB Exploit),2016-11,"11,214",,
SubaGames Forum,2016-11,"3,608,339",,
My Air Bags,2016-06,"15,327",,
DFB,0000-00,"22,820,525",,
Planet Minecraft,0000-00,"403,414",,
Dayz Forum,2016-04,"206,048",,
belegal.com (VB Exploit),2016-11,1,,
Nugget Bridge,2016-12,"5,075",,
BloggTrafik.nu,0000-00,"144,401",,
vrtalk.com (VB Exploit),2016-11,"2,366",,
New Sea Sims,2016-08,"109,210",,
Ausbb.com (VB Exploit),2016-11,"79,734",,
CrackingForum.com,2015-09-01,"659,289","Usernames, Emails, IPs and Passwords",CrackingForum is a forum based around cracking
Quianno,2010-06-16,"700,061",,
fightsite.hr (VB Exploit),2016-11,"5,005",,
DownloadPolitics.com (VB Exploit),2016-11,"1,925",,
PS3 Hax,2015-09,"440,755",,
TheAirTacticalAssaultGroup.com (VB Exploit),2016-11,"11,569",,
Florida.gov,2016-10,"23,460",,
Brazzers.com,2013-04,"928,072",,
PS3ISO,2015-09,"298,173",,
RN.org,2016-02,"348,956",,
SubaGames Ingame Details,2016-11,"8,164,749",,
Plex.TV,2015-00,"657,663",,
Sythe,2014-11-01,"262,720","Usernames, Emails and Passwords",Sythe.org. One of the top runescape cheating websites.
SearchData.online Data Breach Search Engine,2017-03-25,512,,
Seven Dollar Click,2016-07,"109,935",,
BC Wars,2011-03,"101,773",,
I-Dressup,2016-08,"2,211,048",,
Best-Hack Russian Hacking Forum,2017-01-24,"113,472",,
Italian Hax,2017-01-29,"7,518",,
RootKit,2011-02-06,"81,532",,
renntrack.com (VB Exploit),2016-11,"4,121",,
League Mode,0000-00,"2,968",,
Mate1,2016-02-01,"12,887,127","Names, Genders, DOBs, Usernames, Emails and Passwords","Mate1 is an online dating site, the breach that occurred leaked VERY sensitive data."
Bleach Anime,2015-00,"145,135",,
Epic Games Forum,2016-08,"277,944",,
Snail Games,0000-00,"1,415,712",,
support.pixelentity.com (VB Exploit),2016-11,"8,123",,
SoloMid,2014-11,"442,513",,
The Bitcoin Shop,0000-00,"3,147",,
Heroes of Newerth Part 1,2012-12,"8,764,960",,
SpellForce Forums,2016-04,"93,520",,
Top Button,0000-00,"1,208,221",,
YS168,2011-12,"328,587",,
PokeCreed,2014-08,"139,631",,
TastyCat,2015,"118,184",,
GameFront Combo,0000-00,"1,151,664",,
Gamers.nu,2009-01,"95,397",,
CrossFire - cfire.mail.ru,2016-08,"12,889,953",,
Cheap Ass Gamer,2015-07,"385,351",,
LinuxMint.com Forums,2016-02-01,"144,717","Emails, IPS, DOBS and Passwords","In February 2016, the Linux Mint forum was hacked and the Linux Minto ISO was backdoored"
Aeria Games,0000-00,"180,088",,
HackRally.net,2016-12,"1,064",,
Hell Underground Forum,2016-02,"1,323",,
Aarin Fantasy Joomla,2016-10,"128,948",,
community.playkot.com (VB Exploit),2016-11,"13,066",,
Naija Loaded,2011-11,"243,082",,
000WebHost Mailbox Data,2015-10,"639,675",,
Lucas Forums,2016-05,"154,612",,
BTC4Free,2014-01,"21,438",,
Booter.io,2014-09,"5,036",,
Co188,2011-07,"13,500,950",,
forums.freeholdentertainment.com (VB Exploit),2016-11,"1,023",,
DaFont,2017,"682,920",,
Grindfactor.com (VB Exploit),2016-11,626,,
MMORPG Forum,2017-03-06,"30,026",,
Guild Wars PC Forum,2017-03-06,"3,380",,
Minecraft PE Forum,2015-05,"16,255",,
LararForBundet.se,0000-00,"226,006",,
ParaPVP Partial,0000-00,"2,680",,
EvonyP2,2016-07,"17,857,472",,
Izzit,2016-02,"244,183",,
CloudMinr.io,2015-07,"1,000",,
ChatterTzu,2014-11,"56,679",,
4uck.org (VB Exploit),2016-11,"9,896",,
GamesForum.com (VB Exploit),2016-11,"83,576",,
Amt-Games (VB Exploit),2016-11,"5,362",,
Custom Combat Gaming,2015-09,"21,936",,
tupacfanbase.com (VB Exploit),2016-11,28,,
Altis Life RPG,2016-08-26,"31,154",,
Fuska.nu,2009,"61,080",,
Nulled.io Forum,2016-05-01,"599,085","Emails, DOBs, Usernames, IPs, Private Messages and Passwords","Nulled.io was a very popular hacking forum with 599k users when it was hacked, the passwords are hashes and salted in VB"
VBulletin-Germany.org (VB Exploit),2016-11,"14,660",,
GSM Hosting Forum,2016-08,"2,611,291",,
Special K Data Spam List,2015-01,"69,877,608",,
Hotmail Data,0000-00,"439,127",,
OpenSC,2017-04-23,"33,281",,
CSGameServs,2012-03,"55,853",,
The Fave App,2016-09,"549,120",,
bmwforums.info (VB Exploit),2016-11,"16,234",,
Facebook User Data 1.5M,2016-00,"1,432,396",,
sidekicksforum.com (VB Exploit),2016-11,540,,
Bot OF Legends,2015-01,"238,561",,
MoDaCo,2016-01,"885,521",,
Differance Games,2016-12,"30,547",,
EuroGunz,2012,"967,640",,
Buxp,2016-04,"309,985",,
pornoboard.net (VB Exploit),2016-11,"24,916",,
RepZ.eu,2014-00,"110,429",,
Elance1,2009,"1,036,224",,
moso3a.net (VB Exploit),2016-11,271,,
Dropbox,2012-01-01,"68,677,949",Emails and Passwords,"Dropbox was hacked back in 2012, because an Employee re-used a PW from an earlier LinkedIN breach. Leakbase was the first service to disclose the breach."
Mobilene Forum.pl,2015-12,"238,025",,
ifkueryn4mbe4ir6.onion (Freedom Hosting),2017-02,75,,
Zen Studios,2017-04,"253,179",,
aeroquad.com (VB Exploit),2016-11,"13,694",,
MalwareBytes.org,2014-11-01,"111,611","Emails, DOBs, IPs and Passwords",The Anti-Virus company Malwarebytes had its forum hacked in November 2014
Arma3 Life,2015-12,"125,495",,
Tumblr,2013-01-01,"73,369,245",Emails and Passwords,"Hacked in 2013, this Tumblr DB is close to useless, the passwords are hashed but do not include salts making it near impossible to crack a single password"
Lizard Stresser,2015-01,"12,935",,
HongFire Forums,2015-03,"1,006,237",,
BFHax.net (VB Exploit),2016-11,"1,365",,
Planet 3D Now,2016-09,"110,466",,
GSMForum,0000-00,"87,611",,
forum.prowrestling.com (VB Exploit),2016-11,637,,
This Habbo Forum,2014-00,"27,974",,
Naked.com,0000-00,"213,365",,
Exploit.in (Compilation Database),2016-09,"749,556,916",,
boatlocal.com (VB Exploit),2016-11,"2,231",,
Funimation,2016-07,"2,513,522",,
Leet.cc,2016-02,"6,085,758",,
AimJunkies,2014-04,"166,380",,
CounterStrike.cn,0000-00,"346,917",,
Taringa Social Media,2017-08-01,"28,267,720",,
Plu.cn,2016-00,"5,691,574",,
News Of Legends,2015-00,"71,803",,
Skyrim Forum,2017-03-06,"33,373",,
Naturally Curly,2016-03,"400,150",,
PoodleCorp Stresser,2016-07,"2,423",,
Zoosk,2011-01-01,"57,553,697","Usernames, Emails and Passwords","Zoosk, an online dating site."
Crown Bingo,2013-02,"543,343",,
Flashacking.net (VB Exploit),2016-11,"69,679",,
PowerBot,2014-09,"504,841",,
Tianya.cn,2011-01-01,"31,090,657","Usernames, Emails and Passwords","Another Day Another Chinese Data Breach, today China's biggest online forum Tianya.cn"
FijiLive.com,2016-05-01,"143,026","Names, Usernames and Passwords",FijiLive is an online News Portal
Aircraft Online,2013-11,"1,302",,
iMesh.com,2013-09-01,"51,310,759","Usernames, Emails, IPs and Passwords","In September of 2013, the file sharing company Imesh was hacked, the data wasn't sold on the dark web until 2016"
Hive Work Shop,2016-04,"93,924",,
RSBuddy Sample,0000-00,"4,016",,
CraftsForum.co.uk,2016-09,"143,871",,
Unidev,2015-06,"62,682",,
Insure Nutrition,2016-12,"20,760",,
Just Linux Forums,2014-05-29,"77,420",,
Premium Invites,0000-00,"280,475",,
Tango Stresser,2013-04,"1,661",,
Games For Life Clan Forums,2016-05,"36,969",,
Enhance Views,2013-09-04,"21,496",,
ClixSense Surverys,2016-08,"2,222,508",,
MyWordBook,2016-04,"138,133",,
VBTeam,2011-06,"67,811",,
Eroticy,2015-06-01,"1,555,147","Usernames, Names, Emails, IPs and Passwords",Eroticy is an online dating site
OpenRaid,0000-00,"457,084",,
Onverse Forums,2016-01-01,"830,019","Usernames, Emails, IPs and Passwords",Onverse.com the popular online game had its forums hacked in January of this year.
Pokedit Forums,2016-01,"80,073",,
SumoTorrent.sx,2016-04,"302,301",,
Glitched.in,0000-00,"259,175",,
WarSeer,2016-07-01,"106,728","Usernames, Emails, IPs and Passwords",EDIT THIS
Glu.com,2016-02,"623,898",,
forum.hogwartz.ir (VB Exploit),2016-11,"1,133",,
SkillPVP,2016-04,"6,971",,
Drakoria.fr,2015-05,"6,093",,
British Sex Contact,0000-00,"677,729",,
NetDoktor.se,0000-00,"71,428",,
Eastbound88.com (VB Exploit),2016-11,"2,640",,
212300,2012-11,"711,228",,
Ubisoft,2013-07,"1,540,732",,
HexionMC,2016-06,"3,239",,
Villavu,2015,"137,316",,
MateCraft,2016-11-19,"1,723",,
gamerxserver.com (VB Exploit),2016-11,"4,414",,
Dumpbase A Database Trading Forum,2016-12,799,,
Naruto Forums,2016-01,"235,163",,
Banking Tools 1,2015-11,"317,675",,
Illuminati.ws,2013-08,"1,743",,
W3Schools,2015-12,"70,143",,
Cracking Italy,0000-00,"18,132",,
community.inin.com (VB Exploit),2016-11,"4,661",,
Boxee.tv Forums,2014-08-03,"158,088","Private Messages, DOBs, Usernames, Emails, IPs and Password","In March 2014, the home theatre PC software maker Boxee had their forums compromised in an attack."
Quantum Booter,2014-03,"42,156",,
Mail.RU,2014-09,"4,664,478",,
Porno-maniac.org (VB Exploit),2016-11,"33,396",,
Pokemon ShowDown,2016-09-18,"5,363,781",,
CrankGaming,2016-04,"12,443",,
PokeMiner,2015-10,"1,534",,
InBoot Stresser,2016-07,"89,476",,
Addicted Cheats,0000-00,"1,051",,
LeakNinja,2016-12,"2,391",,
free-dc.org (VB Exploit),2016-11,"17,212",,
Nexxx,2016-06,"3,922",,
360icons.com,2013-11,"101,884",,
Reality Mod,2016-03,"94,551",,
bfdgvsatxh2ure7j.onion (Freedom Hosting),2017-02,"3,703",,
Darkmills.cc (VB Exploit),2016-11,"1,463",,
DragonNest,2013-08,"3,144,942",,
MT. Gox,2011-06,"61,015",,
BestHack Russian Hacking Forum,2016-12,"70,270",,
Vector Linux,2016-04,"21,277",,
Zybez,2016-02,"108,606",,
Fap Jizz,2015-08,"37,475",,
Mobango,2011-08,"693,078",,
Web Reus.nl,2016-01,"70,859",,
DarkStar-Gaming.txt,2016-11,"2,368",,
EloBuddy,2016-05,"177,371",,
Devil-Group Hacking Forum,2017-01-25,"56,124",,
talkpaintball.com (VB Exploit),2016-11,"16,428",,
Legion.cm,2013-08-16,"23,112",,
WarFrame Forums,2016-03-20,"822,885",Usernames and Emails,"This leak of the Online Game Warfare does not contain any passwords, there is a column named pass that has hasheesh but decrypted those ""hashes"" are just usernames."
178.com,2011-12-01,"9,072,823",Usernames and Passwords,178.com is a Chinese Gaming Forum
Trillian.im,2016-07,"79,047",,
Pay As You Gym,2016-12,"300,063",,
FrontaLot,2015-02,"66,640",,
Ren Ren,2011-12,"2,275,437",,
NWGT.org (VB Exploit),2016-11,"18,066",,
MineCraft News Forum,2017-03-06,"5,699",,
InfoWars,2014-00,"100,223",,
LifeBoat In-Game (LBSG.net),2016-01,"11,870,389",,
BackPacking Clear,0000-00,"53,904",,
xhbb2b333m3bqobt.onion (Freedom Hosting),2017-02,"2,724",,
126.com,2012-01-01,"7,094,534",Emails and Passwords,126.com is a popular Chinese email provider
Mecho Download,2013-10,"435,357",,
IPP-Net.com (VB Exploit),2016-11,"2,392",,
GameKeys.biz,2015-09,"26,181",,
BedStore and KiddieCare,2015-12,"1,110,201",,
Paddy Power Gambling,2010-10,"750,001",,
internationalskeptics.com (VB Exploit),2016-11,"31,979",,
forum.twt-inc.com (VB Exploit),2016-11,"4,939",,
Daemon-Tools Forum,2016-12,"418,081",,
Webmasters.VNMese.com (VB Exploit),2016-11,"1,812",,
Habbo.st,000-00,"848,650",,
Xronize,2013-05-31,"43,796",,
Crazy Slots Club,2012-04,"439,202",,
nldelphi.com (VB Exploit),2016-11,"6,413",,
Card Forums.biz,2017-04,"172,144",,
Admin Discussion,0000-00,"13,373",,
Arkaniaz.fr,2016-08,"22,561",,
Sprashivai.ru,2015-01,"3,520,000",,
BoostBot,2015-00,"194,476",,
Vbulletin Forum 2014,2014-00,"493,009",,
SGcafe.com (VB Exploit),2016-11,"34,163",,
GhostMarket Carding Forum,2013-03,"3,325",,
broncosforums.com (VB Exploit),2016-11,"13,029",,
Host Club.me,0000-00,"1,186",,
CMD Booter,2015-08,"1,635",,
BitCoin Talk Forum,2015-05,"499,481",,
SubaGames InGame Accounts,2016-11,"6,702,695",,
LoneStarCell.com,2015-09-01,"2,124,601",EDIT THIS,"LoneStar Cell is a telecommunications company, this breach which occurred in 2015 does not contain any passwords"
DealDatabase,2015-09,"81,103",,
Xat Online Chat,2015-11-01,"2,557,550","Emails, Usernames, IPs and Passwords","The Online Chatroom Xat was hacked when a hacker social engineered the hosting company into giving him access, the passwords are hashed but vey easy to decrypt."
Nintendo (2012),2012-00,"13,063",,
forums.pennypop.com (VB Exploit),2016-11,"8,219",,
BitTorrent Forum,2016-01,"34,234",,
Inkjetmall.com (VB Exploit),2016-11,"1,610",,
GTA Gaming Forum,2016-08-01,"196,741","Usernames, Birthdates, Emails, IPs and Passwords",GTA Gaming is a GTA based forum that was hacked due to an old VBulletin forum software.
The Crims,2016-09,"160,921",,
Extreme-Forum.net (VB Exploit),2016-11,"3,549",,
HideMyAss.com,2015-05-05,"58,998","Usernames, Emails, IPs and Passwords",HideMyAss is a popular VPN service used by many
Myspace.com,2013-06-11,"360,213,024","Emails, Usernames and Passwords","One of the biggest leaks to date, with about 360 million accounts with a password"
nldotnet.com (VB Exploit),2016-11,93,,
Kaneva,2016-07,"3,911,134",,
planeetman.nl (VB Exploit),2016-11,98,,
nifgaming.eu (VB Exploit),2016-11,"1,335",,
FragNet,2014-05,"45,432",,
BattleField Heroes,2011-06,"548,774",,
iPmart-BG.com,2015-11-10,"172,314","Usernames, Emails, IP and Passwords",IPmartBG now known as Mobi NUKE is a technology forum
forums.cashisonline.com (VB Exploit),2016-11,"12,452",,
Mumayi,2011-05,"132,570",,
Evony Combo,2016-07,"28,771,191",,
8MIN Dating,0000-00,"247,531",,
VK.com,2013-01-01,"100,544,934","Emails, Names, Phone Numbers and Passwords","The Russian Facebook VK was hacked, sometime in 2013, the passwords are stored in plain-text"
Onlinenutrition.com.au (VB Exploit),2016-11,"3,712",,
Jays Booter,2012-12,457,,
Minecraft World Map,2015-12,"71,020",,
OwnedCore,2013-08,"880,023",,
Stresser Club,2016-03,"1,453",,
IPMart Forum,2015-07-01,"2,082,674","Usernames, DOBs, Emails and Passwords","Unlike the IPMartBG leak, this is the actual forum leaked, which was was leaked 5 months earlier and contains 2 million accounts"
Project Pokemon,2016-07,"59,427",,
Edmodo School Learning,2017-05,"77,039,760",,
SweClockers,2015-07,"254,913",,
GameVN,0000-00,"1,373,659",,
Guild Wars 2 PC Forum,2017-03-06,"78,512",,
Colorado Voters Database,2015-12,"1,386,307",,
RedBox,2016-10-21,"250,449",,
xSplit (2015),2015-06,"2,989,143",,
Pokemon.Us,0000-00,"1,003",,
WarCraft Movies,2015-12,"418,336",,
PlaySC,2016-00,"112,402",,
CrackCommunity,2015-08,"19,172",,
thelovelogic.com (VB Exploit),2016-11,928,,
PesFan,2016-05,"427,500",,
forum.keypublishing.com (VB Exploit),2016-11,"45,670",,
9Teens.org (VB Exploit),2016-11,"13,798",,
Gratisbio.se,2012-00,"210,979",,
Simplelivingforum.net (VB Exploit),2016-11,"11,174",,
Yandex.com,2014-09-01,"1,261,809",Emails and Passwords,"Yandex is a Russian search engine, this leak similar to the Mail.ru leak is thought not to be a breach but simply the fact that russians tend to re-use passwords."
Rap God Fathers (RGF),2015-12-29,"166,460",,
toroscoleados.com,2016-09,"28,812",,
Black Ops 2 Forum,2017-03-06,"14,255",,
Team Extreme MC,2015-04,"148,978",,
Nexus Mods,2013-01-01,"5,920,919","Usernames, Emails and Passwords","Offers modifications for PC games, accessible by genre. Also offers a Windows download manager."
I Like Cheats Forum,2015-05,"188,595",,
Carding Maestro.me Carding Forum,2017-01-23,"171,010",,
NextGenUpdate.com,2014-01,"1,193,286",,
Konvict Gaming,2016-01,"31,388",,
BTC-E Partial,2014-10,"568,356",,
1337-Crew,2013-06,"18,834",,
Radical Exploits (Bcrypt),2016-07,"2,649",,
Dodonew.com,2011-12-01,"16,280,822","Usernames, Emails and Passwords",Dodonew is a Chinese News Site
PSX-Scene,2016-05,"364,934",,
eCommerce1.com,2016-01-01,"600,530",Emails and Passwords,Private e-commerce database.
Patreon Crowd Funding,2015-09,"2,275,680",,
Dubai Air,2016-00,"319,297",,
PokeGym Forum,2016-01,"51,549",,
ForumCommunity.net,2016-06-01,"777,351","Usernames, Emails and Passwords",ForumCommunity.net is a website to make forums for free.
Demon Forums,2016-11,"11,463",,
Muzhiwan Chinese Gaming,2016-10,"4,920,391",,
Gmail Data,0000-00,"866,610",,
Letter Boxing,2016-00,"58,647",,
PokeBip Main,2015-10,"322,926",,
Rage Booter,2013-05,"1,357",,
Last Light Forum,2017-03-06,"15,350",,
SEOForums,2012-05,"71,468",,
GTA V Forum,2017-03-06,"8,773",,
The Bot.Net,2012-08-19,"96,422","Usernames, Emails, IPs and Passwords",TheBot.Net is just a regular discussion board on many different topics.
Forum Korner,2013-03,"21,578",,
7k7k.com,2011-01-01,"10,137,478","Usernames, Emails and Passwords",7k7k is a Chinese Gaming website
DevShed Main+WordPress,2015-10,"217,431",,
