id,name,entries,breach_date,unverified,passwordless,compilation
1,MyHeritage.com,"{'l': 0, 'e': 86739843}",2017-10,0,0,0
2,BlackHatDevil.com,"{'l': 0, 'e': 14286}",,0,0,0
3,Brazzers.com,"{'l': 0, 'e': 795143}",2013-04,0,0,0
4,Paxful.com,"{'l': 0, 'e': 283050}",,0,0,0
5,Wanadoo,"{'e': 137847, 'l': 0}",,0,0,0
6,Aternos.org,"{'e': 919851, 'l': 858934}",2015-12,0,0,0
7,ButterFlyLabs.com,"{'l': 0, 'e': 18451}",2014-11,0,0,0
8,Cfire.mail.ru,"{'e': 10144950, 'l': 8876509}",2016-08,0,0,0
9,MMORG.net,"{'l': 0, 'e': 2341848}",,0,0,0
10,MineSerwer.pl,"{'l': 0, 'e': 11323}",,0,0,0
11,FFShrine.org,"{'l': 0, 'e': 491121}",2015-09,0,0,0
12,Wallet.btc.com,"{'l': 0, 'e': 12510}",,0,0,0
13,MerlinsMagicBitcoins.com,"{'l': 0, 'e': 1531}",,0,0,0
14,AnyWhere.xxx,"{'l': 0, 'e': 512694}",,0,0,0
15,MythicalWorld.net,"{'l': 0, 'e': 73697}",2015-09,0,0,0
16,Poloniex.com,"{'l': 0, 'e': 949697}",,0,0,0
18,Hitfinex,"{'l': 0, 'e': 441869}",,0,0,0
19,Coins.numizmat.net,"{'l': 0, 'e': 2911}",,0,0,0
20,Parapa.mail.ru,"{'e': 4690664, 'l': 4283713}",2016-08,0,0,0
21,CapitalGames.com,"{'l': 0, 'e': 430404}",2015-10,0,0,0
22,Cafepress.com,"{'e': 10069713, 'l': 0}",2019-02,0,0,0
23,Cannabiscardpay.com,"{'l': 0, 'e': 10828}",2017-10,0,0,0
24,Dailymotion.com,"{'e': 1430751, 'l': 1163019}",2016-10,0,0,0
25,Clubfactory.com,"{'l': 0, 'e': 10842}",,0,0,0
26,FrostLand,"{'l': 0, 'e': 343199}",,0,0,0
27,Nextgenupdate.com,"{'e': 1049807, 'l': 1004087}",2013-12,0,0,0
28,Hmps.in,"{'l': 0, 'e': 123578}",2019-09,0,0,0
29,Xoffer.hk,"{'l': 0, 'e': 37261}",,0,0,0
30,Evgexacraft.ru,"{'l': 0, 'e': 295606}",,0,0,0
31,Xpgamesaves.com,"{'l': 0, 'e': 739574}",2015-12,0,0,0
32,Lacedrecords.co,"{'l': 0, 'e': 52146}",,0,0,0
33,Bondagestory.biz,"{'l': 0, 'e': 37512}",,0,0,0
34,MemberReportAccess.com,"{'l': 0, 'e': 888962}",,0,0,0
35,Gfycat.com,"{'l': 0, 'e': 146086}",,0,0,0
36,FoxyBingo.com,"{'l': 0, 'e': 258097}",2007-03,0,0,0
37,Hongfire.com,"{'e': 846397, 'l': 761080}",2015-03,0,0,0
38,iMesh.com,"{'e': 44113700, 'l': 41688594}",2013-09,0,0,0
39,Iqrashop.com,"{'l': 0, 'e': 130211}",,0,0,0
40,Powerbot.org,"{'l': 124987, 'e': 427584}",2014-09,0,0,0
41,CheatGamer.com,"{'l': 0, 'e': 337122}",,0,0,0
42,Avvo.com,"{'e': 1926666, 'l': 0}",,0,0,0
43,CashCrate.com,"{'l': 0, 'e': 6457026}",2016-11,0,0,0
44,Creocommunity.com,"{'l': 0, 'e': 188684}",2017-11,0,0,0
45,Forums.Cdprojektred.com,"{'l': 0, 'e': 623161}",,0,0,0
46,Dogewallet.com,"{'l': 0, 'e': 22305}",2013-12,0,0,0
48,StockX.com,"{'e': 8947015, 'l': 6763332}",2019-07,0,0,0
49,Gameshot.net,"{'l': 0, 'e': 300062}",2017-10,0,0,0
50,Duelingnetwork.com,"{'e': 6268255, 'l': 5707401}",2017-03,0,0,0
51,BlankMediaGames.com,"{'e': 3857698, 'l': 3760082}",2018-12,0,0,0
52,WorldPokerTour.com,"{'l': 0, 'e': 89361}",,0,0,0
53,Lotro.com,"{'e': 927683, 'l': 984066}",2013-07,0,0,0
54,Fotoboom.com,"{'l': 0, 'e': 88498}",,0,0,0
55,PvPWars.net,"{'l': 0, 'e': 11825}",,0,0,0
56,OmegaCraft.cl,"{'l': 0, 'e': 1277}",,0,0,0
57,EpicGames.com,"{'e': 81674, 'l': 84174}",2016-07,0,0,0
58,ShoppingBitcoins.com,"{'l': 0, 'e': 2974}",,0,0,0
59,Forums.xkcd.com,"{'e': 269202, 'l': 68730}",2019-07,0,0,0
60,Renren.com,"{'l': 0, 'e': 3028497}",2011-11,0,0,0
61,Bendercraft.ru,"{'l': 0, 'e': 157376}",,0,0,0
62,Elance.com,"{'l': 0, 'e': 1253013}",2009-01,0,0,0
63,Liancaijing.com,"{'l': 0, 'e': 122871}",,0,0,0
64,Hostinger,"{'l': 0, 'e': 311577}",,0,0,0
65,Mediafire.com,"{'l': 0, 'e': 138534}",,0,0,0
66,Frozencraft.ru,"{'l': 0, 'e': 27607}",2015-01,0,0,0
67,Forbes.com,"{'l': 0, 'e': 266853}",2014-02,0,0,0
68,Whitepages.com,"{'e': 2164543, 'l': 0}",2016-06,0,0,0
69,Stickam.com,"{'l': 504087, 'e': 532797}",2017-11,0,0,0
70,Playforceone.com,"{'l': 0, 'e': 213127}",,0,0,0
71,Coinmama.com,"{'e': 239751, 'l': 0}",2017-08,0,0,0
72,Xclan.org,"{'l': 0, 'e': 11586}",,0,0,0
73,GFAN.com,"{'l': 0, 'e': 7291019}",2016-10,0,0,0
74,Hautelook.com,"{'e': 14145567, 'l': 0}",2018-08,0,0,0
75,Mpgh.net,"{'l': 0, 'e': 2669584}",2015-10,0,0,0
76,PubPit.com,"{'l': 0, 'e': 51178}",,0,0,0
77,Kraken.com,"{'l': 0, 'e': 14363}",,0,0,0
78,Animoto.com,"{'e': 11804418, 'l': 0}",2018-07,0,0,0
79,R2Games.com,"{'e': 8504787, 'l': 7140110}",2015-11,0,0,0
80,Bleachanime.org,"{'l': 0, 'e': 109612}",2014-11,0,0,0
81,Corevin.com,"{'l': 0, 'e': 730951}",,0,0,0
82,Ueber18.de,"{'l': 0, 'e': 496715}",2016-12,0,0,0
83,EyeEm.com,"{'e': 4258829, 'l': 458052}",2018-02,0,0,0
84,Roll20.net,"{'e': 1267220, 'l': 0}",2018-12,0,0,0
85,Canva.com,"{'e': 141054799, 'l': 0}",2019-05,0,0,0
86,Developers-Heaven.net,"{'l': 0, 'e': 4169}",2019-08,0,0,0
87,Hacker.co.kr,"{'l': 0, 'e': 1352850}",2009-11,0,0,0
88,Cannabis.com,"{'l': 0, 'e': 204356}",2014-01,0,0,0
90,Gamesnord.com,"{'l': 0, 'e': 592573}",,0,0,0
91,Moneyman.org,"{'l': 0, 'e': 529719}",,0,0,0
92,TintenProfi.ch,"{'l': 0, 'e': 90076}",,0,0,0
93,TheWarinc.com,"{'l': 0, 'e': 869402}",2012-06,0,0,0
94,Petflow.com,"{'e': 959494, 'l': 0}",2017-12,0,0,0
95,Shotbow.net,"{'l': 0, 'e': 53490}",2016-04,0,0,0
96,Hostmonster.com,"{'l': 0, 'e': 36036}",,0,0,0
97,Strongholdkingdoms.com,"{'l': 2892917, 'e': 3763101}",2018-07,0,0,0
98,Yahoo.com,"{'l': 0, 'e': 74383177}",2012-07,0,0,0
99,Justskins.com,"{'l': 0, 'e': 2391}",,0,0,0
100,ixigo.com,"{'l': 0, 'e': 4274041}",2019-01,0,0,0
101,Wealth-Start-Business.com,"{'l': 0, 'e': 205335}",,0,0,0
103,Toondoo.com,"{'e': 4919439, 'l': 4658832}",2018-11,0,0,0
104,Leet.cc,"{'e': 1989017, 'l': 2183066}",2016-01,0,0,0
105,Wonderpolls.com,"{'e': 120034, 'l': 0}",,0,0,0
106,Funny-Games.biz,"{'l': 0, 'e': 714884}",,0,0,0
107,Bit2Visitor.com,"{'l': 0, 'e': 22853}",,0,0,0
108,Klerk.ru,"{'l': 0, 'e': 151048}",2014-02,0,0,0
109,EpicNPC.com,"{'l': 0, 'e': 58213}",2016-01,0,0,0
110,Tunngle.net,"{'e': 15121571, 'l': 5910950}",2015-11,0,0,0
111,000webhost.com,"{'l': 0, 'e': 14857564}",2015-03,0,0,0
112,Forums.gre.net,"{'l': 0, 'e': 46007}",,0,0,0
113,Bitcoin.Lixter.com,"{'l': 0, 'e': 2971}",2014-08,0,0,0
114,Rekrute.com,"{'l': 0, 'e': 579089}",,0,0,0
115,Bitly.com,"{'l': 0, 'e': 4662626}",2014-04,0,0,0
116,Buxp.org,"{'l': 0, 'e': 458970}",2016-03,0,0,0
117,WeHeartIt.com,"{'e': 2373896, 'l': 2177307}",2013-10,0,0,0
119,Gamesforum.de,"{'l': 0, 'e': 61062}",,0,0,0
120,Qiannao.com,"{'l': 0, 'e': 572726}",2010-11,0,0,0
121,BlackHatProTools.net,"{'l': 0, 'e': 71899}",2018-06,0,0,0
123,Runelite.net,"{'l': 0, 'e': 77858}",,0,0,0
124,ConnectPress.com,"{'l': 0, 'e': 335065}",2012-11,0,0,0
125,Vps.it,"{'l': 0, 'e': 46373}",2017-11,0,0,0
126,Houzz.com,"{'e': 10690789, 'l': 0}",2018-05,0,0,0
127,Forums.Seochat.com,"{'l': 0, 'e': 232837}",,0,0,0
128,MyMiniGames.com,"{'l': 0, 'e': 150846}",,0,0,0
130,Ias100.in,"{'l': 0, 'e': 152461}",2016-11,0,0,0
131,Demonforums.net,"{'e': 38960, 'l': 38720}",2019-02,0,0,0
132,Estantevirtual.com.br,"{'l': 0, 'e': 3402381}",,0,0,0
133,Profitech.hu,"{'e': 90507, 'l': 0}",,0,0,0
134,Forums.LinuxMint.com,"{'l': 0, 'e': 67109}",,0,0,0
136,Oneland.ru,"{'l': 0, 'e': 96991}",2016-11,0,0,0
137,Storybird.com,"{'l': 0, 'e': 686090}",,0,0,0
138,MagazineDee.com,"{'l': 0, 'e': 107346}",2016-11,0,0,0
139,CraftBoard.pl,"{'l': 0, 'e': 17974}",2016-06,0,0,0
140,MangaTraders.com,"{'l': 0, 'e': 843574}",2014-06,0,0,0
141,Learnfrenchbypodcast.com,"{'l': 0, 'e': 120492}",,0,0,0
142,Kickstarter.com,"{'l': 0, 'e': 2408521}",2014-01,0,0,0
144,Dubsmash.com,"{'e': 37473218, 'l': 28645852}",2018-12,0,0,0
145,Cex.io,"{'l': 0, 'e': 95959}",,0,0,0
146,GameSalad.com,"{'l': 808552, 'e': 1123387}",2019-02,0,0,0
147,Forex-Investor.net,"{'l': 0, 'e': 42680}",,0,0,0
148,Over-blog.com,"{'l': 0, 'e': 1904857}",,0,0,0
149,Gameogre.com,"{'l': 0, 'e': 193294}",,0,0,0
150,Abandonia.com,"{'l': 0, 'e': 14179}",2015-10,0,0,0
151,Runescape.Backstreetmerch.com,"{'l': 0, 'e': 167915}",,0,0,0
152,Subagames.com,"{'e': 3423419, 'l': 0}",2016-08,0,0,0
153,Pokemoncreed.net,"{'l': 0, 'e': 116637}",2014-07,0,0,0
154,WarcraftRealms.com,"{'l': 0, 'e': 129184}",2018-11,0,0,0
155,Babynames.net,"{'l': 0, 'e': 583026}",2008-10,0,0,0
156,Coinbulb.com,"{'l': 0, 'e': 569802}",2017-11,0,0,0
157,Jobandtalent.com,"{'e': 5745147, 'l': 0}",2018-01,0,0,0
158,Cre8ASiteForums.com,"{'l': 0, 'e': 22149}",,0,0,0
159,ID.Zing.vn,"{'l': 0, 'e': 22735442}",,0,0,0
160,Forum.DvdRBase.info,"{'l': 0, 'e': 40067}",,0,0,0
161,BitcoinSecurity,"{'l': 0, 'e': 9393718}",2014-01,0,0,0
162,FuckJagex.com,"{'l': 0, 'e': 1556785}",2014-08,0,0,0
163,ClixSense.com,"{'l': 0, 'e': 2221131}",2016-07,0,0,0
164,Game.Kaidown.com,"{'l': 0, 'e': 847467}",,0,0,0
165,LBSG.net,"{'e': 9615229, 'l': 9328538}",2016-01,0,0,0
166,ForumCommunity.net,"{'l': 0, 'e': 745631}",2016-06,0,0,0
167,Void.to,"{'l': 0, 'e': 14819}",2019-06,0,0,0
168,NaughtyAmerica.com,"{'l': 0, 'e': 398394}",2016-02,0,0,0
169,GameTuts.com,"{'l': 0, 'e': 1121822}",2015-03,0,0,0
170,SumoTorrent.sx,"{'l': 0, 'e': 249654}",2016-03,0,0,0
171,Edaboard.com,"{'l': 0, 'e': 347998}",2014-11,0,0,0
172,Gamecom.com,"{'l': 0, 'e': 1003348}",,0,0,0
173,Rewasd.com,"{'l': 0, 'e': 102086}",2019-08,0,0,0
174,Moneycontrol.com,"{'l': 0, 'e': 29873}",,0,0,0
175,SafeSkyHacks.com,"{'l': 0, 'e': 2222}",2016-10,0,0,0
176,Coinpot.co,"{'l': 0, 'e': 130895}",,0,0,0
177,MyFitnessPal.com,"{'e': 49014567, 'l': 47616004}",2018-02,0,0,0
178,Rgbdirect.co.uk,"{'l': 0, 'e': 146043}",,0,0,0
179,Jobmada.com,"{'e': 19982, 'l': 0}",,0,0,0
180,WorldCraftEros.net,"{'l': 0, 'e': 2270}",,0,0,0
181,Funimation.com,"{'l': 587855, 'e': 848158}",2016-07,0,0,0
182,Acne.org,"{'l': 0, 'e': 233197}",2014-11,0,0,0
183,Wanelo.com,"{'e': 3041009, 'l': 0}",2018-12,0,0,0
184,Euronote.hu,"{'l': 0, 'e': 361152}",,0,0,0
185,Gatehub.net,"{'e': 338836, 'l': 65570}",2019-06,0,0,0
186,8Tracks.com,"{'e': 11551966, 'l': 6394986}",2017-06,0,0,0
187,Hitlerattacks.com,"{'l': 0, 'e': 944}",,0,0,0
188,Openraid.org,"{'l': 0, 'e': 253709}",,0,0,0
189,Imgur.com,"{'l': 0, 'e': 1746651}",2013-09,0,0,0
190,ArmorGames.com,"{'l': 8636120, 'e': 9109593}",2019-01,0,0,0
191,Morele.net,"{'e': 869453, 'l': 0}",2018-10,0,0,0
192,Viperc.net,"{'l': 0, 'e': 2442}",,0,0,0
193,Payasugym.com,"{'l': 0, 'e': 284644}",2016-11,0,0,0
194,Bizbilla.com,"{'l': 0, 'e': 168848}",,0,0,0
195,Facepunch.com,"{'l': 0, 'e': 258835}",2016-06,0,0,0
196,SpellForce.com,"{'l': 0, 'e': 109987}",,0,0,0
197,Coachella.com,"{'l': 0, 'e': 205215}",2017-01,0,0,0
198,Mycube.ru,"{'l': 0, 'e': 206183}",2016-11,0,0,0
199,Dating.de,"{'l': 0, 'e': 511384}",2016-05,0,0,0
200,Hydrogenplatform.com,"{'l': 0, 'e': 29471}",,0,0,0
201,Eletroplus.blogspot.com,"{'l': 0, 'e': 74158}",,0,0,0
202,Fitbit.com,"{'l': 0, 'e': 1997430}",,0,0,0
203,Tibia.net.pl,"{'l': 0, 'e': 341398}",2015-11,0,0,0
204,Nihonomaru.net,"{'l': 0, 'e': 1555849}",2015-03,0,0,0
205,Techimo.com,"{'l': 0, 'e': 300125}",2016-12,0,0,0
207,Lookbook.nu,"{'l': 0, 'e': 1071282}",2016-04,0,0,0
208,VaroxCraft.de,"{'l': 0, 'e': 1425}",,0,0,0
209,Shadi.com,"{'l': 0, 'e': 2016544}",2016-06,0,0,0
210,Chegg.com,"{'e': 30017159, 'l': 0}",2018-03,0,0,0
211,MortalOnline.com,"{'e': 610051, 'l': 574231}",2018-06,0,0,0
212,Mate1.com,"{'l': 0, 'e': 27184842}",2015-10,0,0,0
213,Go4EngineeringJobs.com,"{'l': 0, 'e': 171622}",,0,0,0
214,Bitshacking.com,"{'l': 0, 'e': 31697}",2014-02,0,0,0
215,HazeCash.com,"{'l': 0, 'e': 800257}",2016-12,0,0,0
217,Spohesap.com,"{'l': 0, 'e': 6188}",,0,0,0
218,TeamExtremeMc.com,"{'l': 0, 'e': 70393}",2015-03,0,0,0
219,BitsCircle.com,"{'l': 0, 'e': 18956}",,0,0,0
220,Marketdownload.com,"{'l': 0, 'e': 104315}",2016-11,0,0,0
221,Zloadr.com,"{'l': 0, 'e': 8714}",,0,0,0
222,Onebip.com,"{'l': 0, 'e': 1890269}",2017-09,0,0,0
223,EmuParadise.me,"{'l': 730812, 'e': 757331}",2018-04,0,0,0
224,VanityMC.co,"{'l': 0, 'e': 9550}",,0,0,0
225,Forums.Manacube.com,"{'l': 0, 'e': 52531}",,0,0,0
226,NexusMods.com,"{'e': 5533442, 'l': 4990446}",2013-07,0,0,0
227,Instaforex.com,"{'l': 0, 'e': 263385}",,0,0,0
228,Kaboom.su,"{'l': 0, 'e': 77006}",2015-09,0,0,0
229,Redbox.com,"{'l': 0, 'e': 246921}",,0,0,0
230,Faucethub.io,"{'l': 0, 'e': 547991}",,0,0,0
231,Btc60.net,"{'l': 0, 'e': 52146}",,0,0,0
232,Gametag.com,"{'l': 0, 'e': 208066}",2017-10,0,0,0
233,Psyonix.com,"{'l': 0, 'e': 979504}",,0,0,0
234,Intellego.com,"{'l': 0, 'e': 478183}",,0,0,0
235,YingjieSheng.com,"{'l': 0, 'e': 728391}",,0,0,0
236,Cracked.to,"{'l': 0, 'e': 23582}",2019-07,0,0,0
237,DLH.net,"{'l': 0, 'e': 3139638}",2016-07,0,0,0
238,Windhanenergy.io,"{'l': 0, 'e': 56411}",,0,0,0
239,Poshmark.com,"{'e': 27279874, 'l': 9762309}",2018-05,0,0,0
240,CraftApple.com,"{'l': 0, 'e': 2877}",2016-06,0,0,0
241,HackGive.me,"{'l': 0, 'e': 36342}",2017-07,0,0,0
242,Aptoide.com,"{'e': 6141458, 'l': 0}",2020-04,0,0,0
243,Cryptostar.asia,"{'e': 19384, 'l': 0}",2019-11,0,0,0
244,Exerion.pl,"{'e': 85100, 'l': 0}",2020-03,0,0,0
245,FlashGames.it,"{'l': 878471, 'e': 1051185}",2020-03,0,0,0
246,LiveJournal,"{'l': 32445875, 'e': 27271568}",2017-01,0,0,0
247,Mobifriends,"{'e': 3108048, 'l': 2974184}",2019-11,0,0,0
248,Ogusers,"{'e': 177812, 'l': 134465}",2020-04,0,0,0
249,Oneservers.su,"{'e': 36362, 'l': 36058}",2019-07,0,0,0
251,rbx.rocks,"{'e': 23513, 'l': 21511}",2018-08,0,0,0
252,Silkroad,"{'l': 4546006, 'e': 0}",2011-11,0,0,0
253,Sminecraft,"{'l': 105986, 'e': 104162}",2019-11,0,0,0
254,Storenvy,"{'l': 1183109, 'e': 1651151}",2019-03,0,0,0
255,Tailieu.vn,"{'e': 8122632, 'l': 6667000}",2019-11,0,0,0
256,Webkinz,"{'e': 806177, 'l': 12491437}",2020-03,0,0,0
257,Zorotex,"{'e': 16334, 'l': 0}",2019-07,0,0,0
258,Zynga.com,"{'e': 181150552, 'l': 30890171}",2019-09,0,0,0
259,Romwe.com,"{'e': 16412123, 'l': 0}",2017-11,0,0,0
260,Stalker.so,"{'e': 654065, 'l': 0}",2020-04,0,0,0
261,Omgpop,"{'l': 0, 'e': 6938477}",2019-07,0,0,0
262,Villavu.com,"{'l': 0, 'e': 121097}",2013-11,0,0,0
264,Animalfuckwoman.org,"{'e': 110391, 'l': 0}",2018-11,0,0,0
265,Edmodo,"{'e': 6787786, 'l': 7217675}",2017-05,0,0,0
267,AnimeGame.me,"{'e': 1853270, 'l': 0}",2020-02,0,0,0
268,Characters.net,"{'l': 0, 'e': 133268}",,0,0,0
269,Ticketclub.it,"{'l': 0, 'e': 85114}",2018-11,0,0,0
270,Vasthushop.com,"{'l': 0, 'e': 2264}",2018-11,0,0,0
271,GameSprite.me,"{'l': 0, 'e': 984328}",2019-11,0,0,0
272,Sylhetaid.co.uk,"{'l': 0, 'e': 60909}",,0,0,0
273,AndroidForums.com,"{'l': 0, 'e': 454148}",2011-10,0,0,0
274,PESGaming.com,"{'l': 0, 'e': 144686}",,0,0,0
275,Trackmill.com,"{'l': 0, 'e': 339038}",,0,0,0
276,Heatgames.me,"{'e': 547495, 'l': 0}",,0,0,0
277,Potico.es,"{'l': 0, 'e': 109457}",,0,0,0
278,Wiccanos.es,"{'l': 0, 'e': 12400}",,0,0,0
279,iBreatheMusic.com,"{'l': 0, 'e': 17632}",,0,0,0
281,forums.idcgames.com,"{'l': 0, 'e': 199251}",2019-11,0,0,0
