Name,Last Modified,Collection
17.Media.rar (739.27 MB),22/05/2017,Large DBs
PS3Hax.net.txt.gz (31.04 MB),22/05/2017,Large DBs
patreondump.tar.gz (3.72 GB),22/05/2017,Large DBs
Experian.7z (1.01 GB),22/03/2018,Large DBs
Ashley_Madison_users.7z (1.65 GB),22/05/2017,Large DBs
xat.7z (217.14 MB),22/05/2017,Large DBs
7dc58-ngp-van.7z (678.44 MB),22/05/2017,Large DBs
investbank.ae.7z (251.50 MB),22/05/2017,Large DBs
linkedin_all.7z (4.22 GB),22/05/2017,Large DBs
Libero.it 900k.zip (40.12 MB),22/05/2017,Large DBs
index.nginx-debian.html (612.00 B),09/11/2018,Large DBs
MPGH.net_vb_April_2015.txt.7z (182.92 MB),22/05/2017,Large DBs
STRATFOR EMAIL HACK.7z (92.15 MB),22/05/2017,Large DBs
Ubisoft.com forum.sql (77.17 MB),22/05/2017,Large DBs
neopets_2013_68M.7z (1.35 GB),22/05/2017,Large DBs
ClixSense.com_2.2M_08_2016.rar (173.13 MB),22/05/2017,Large DBs
000webhost_13mil_plain_Oct_2015.7z (286.17 MB),22/03/2018,Large DBs
kaixin001.com.7z (93.88 MB),22/05/2017,Large DBs
fling.com_40M_users.sql.7z (2.42 GB),10/04/2018,Large DBs
modbsolutions.rar (2.61 GB),22/05/2017,Large DBs
Arma3Life.sql (100.25 MB),22/05/2017,Large DBs
comcast.7z (20.22 MB),22/05/2017,Large DBs
Myspace.com.txt.7z (12.22 GB),22/05/2017,Large DBs
DayZ.com_Forum.txt (19.07 MB),22/05/2017,Large DBs
lastfm-thesle3p.rar (2.01 GB),22/05/2017,Large DBs
ovh_kimsufi_2015.7z (49.53 MB),22/05/2017,Large DBs
AndroidForums.com_VB_26-12-2013.sql.7z (41.61 MB),22/05/2017,Large DBs
taobao.7z (151.18 MB),22/05/2017,Large DBs
NaughtyAmerica.7z (285.16 MB),22/05/2017,Large DBs
blackhatworld.7z (63.99 MB),22/05/2017,Large DBs
forbes-wp_users.txt.zip (63.33 MB),22/05/2017,Large DBs
Adobe 152M.tar.gz (1.36 GB),22/05/2017,Large DBs
Badoo.com.June2016.rar (1.20 GB),22/05/2017,Large DBs
Gamevn.com.txt (130.75 MB),22/05/2017,Large DBs
edmodo.7z (5.21 GB),06/03/2018,Large DBs
twitter.7z (279.24 MB),22/05/2017,Large DBs
Cannabis.com.rar (766.26 MB),22/05/2017,Large DBs
Xsplit Plain (SHA1).7z (112.32 MB),22/05/2017,Large DBs
Exploit.in.7z (8.46 GB),22/03/2018,Large DBs
Abandonia.com_vb_November_2015.txt - Copy (2).7z (30.46 MB),22/05/2017,Large DBs
53c06-rambler.ru_plain-91-million-users.7z (899.00 MB),01/06/2017,Large DBs
leet.cc_partial.txt.7z (73.80 MB),22/05/2017,Large DBs
mega.co.nz_partialdump.7z (18.35 MB),22/05/2017,Large DBs
VK.COM_100M.rar (1.12 GB),22/05/2017,Large DBs
nulled.io.sql.7z (725.03 MB),22/05/2017,Large DBs
acne.org_ibf_members_11_25_2014.7z (42.97 MB),22/05/2017,Large DBs
MineField188K.7z (17.57 MB),22/05/2017,Large DBs
SnapChat.7z (32.34 MB),22/05/2017,Large DBs
muslimmatch.com.7z (105.02 MB),22/05/2017,Large DBs
mSpy.7z (436.24 MB),22/05/2017,Large DBs
R2Games_2.1M_2015.txt.7z (87.68 MB),22/05/2017,Large DBs
Tumblr_2013_users.7z (1.97 GB),22/05/2017,Large DBs
apple_data.7z (59.41 MB),22/05/2017,Large DBs
Ashley_Madison_users.gz (1.68 GB),22/05/2017,Large DBs
de.Streamscene.cc_jan_2012_users.txt (4.98 MB),22/05/2017,Large DBs
Nihonomaru.7z (67.29 MB),22/05/2017,Large DBs
investbank.ae-2016-04-25.zip (515.49 MB),22/05/2017,Large DBs
dropbox-thesle3p.7z (1.79 GB),22/05/2017,Large DBs
YouPorn.com.rar (95.74 MB),22/05/2017,Large DBs
NextGenUpdate.7z (68.69 MB),22/05/2017,Large DBs
XXXhdPorn (db + source).7z (16.77 MB),22/05/2017,Large DBs
imesh.rar (407.86 MB),22/05/2017,Large DBs
AdultFriendFinder2015.7z (67.92 MB),22/05/2017,Large DBs
lsbg.net (lifeboat).txt.7z (263.06 MB),22/05/2017,Large DBs
brazzers com April 2013.7z (13.33 MB),22/05/2017,Large DBs
OwnagePranks2016.7z (110.74 MB),22/05/2017,Large DBs
Solomid.net_ipb_November_2014.txt.7z (11.31 MB),22/05/2017,Large DBs
gawker_real_release.rar (431.24 MB),22/05/2017,Large DBs
178_all.txt (254.44 MB),22/05/2017,Large DBs
DLH.net_3M_2016.7z (91.44 MB),22/05/2017,Large DBs
AbuseWith.Us-Lookups.rar (108.09 MB),22/05/2017,Large DBs
torrent-invites.com_forum-2016-08-07.sql.gz (969.63 MB),22/05/2017,Large DBs
7k7k.com.7z (136.24 MB),22/05/2017,Large DBs
mate1.com-plain-november-2015.txt.7z (504.06 MB),22/05/2017,Large DBs
STRATFOR USERS DATABASE.7z (44.48 MB),22/05/2017,Large DBs
Zoosk.com.7z (1.68 GB),22/05/2017,Large DBs
bit.ly_9.3m_social_May2014_.7z (260.64 MB),06/03/2018,Raidforums.com
WeHeartIt.7z (388.33 MB),28/02/2018,Raidforums.com
imgur.com_1.7m_social_Sep2013.7z (17.64 MB),06/03/2018,Raidforums.com
AviatorCraft_Buycraft_Logs_2.2k.txt (389.25 KB),09/03/2018,Minecraft
iPvP_IPs_Logs_34k.csv (2.01 MB),09/03/2018,Minecraft
IslandClash_Buycraft_Logs_2.8k.csv (657.30 KB),09/03/2018,Minecraft
xDSquare_410.csv (31.58 KB),09/03/2018,Minecraft
starblast.fr_23k.txt (1.45 MB),09/03/2018,Minecraft
funcraft.fr_41k.txt (4.43 MB),09/03/2018,Minecraft
FaithfulHCF_Buycraft_Logs_30k.txt (5.18 MB),09/03/2018,Minecraft
DatPixel_Emails_DB.csv (29.54 KB),09/03/2018,Minecraft
tipanddonation.com.txt (145.72 KB),09/03/2018,Minecraft
Blockmadness.com_Buycraft_DB.csv (26.32 KB),09/03/2018,Minecraft
Fadegen.pw.csv (89.38 KB),09/03/2018,Minecraft
CodeRedTestServer.txt (5.52 KB),09/03/2018,Minecraft
sarefine_ips_10k.txt (2).txt (237.80 KB),09/03/2018,Minecraft
Swansons Teamspeak.txt (19.81 KB),09/03/2018,Minecraft
RoyaltyPvP_LiteBans_IPs_11k.txt (687.36 KB),09/03/2018,Minecraft
distanymc.eu.txt (235.23 KB),09/03/2018,Minecraft
iPvP_PayPal_Logs_13.3k.csv (4.39 MB),09/03/2018,Minecraft
BanterUHC_Buycraft_Logs_470.csv (113.46 KB),09/03/2018,Minecraft
FaithfulHCF_Buycraft_Logs_1.8k.csv (210.29 KB),09/03/2018,Minecraft
EmpireMinecraft_Emails_DB.csv (266.28 KB),09/03/2018,Minecraft
StaticPrison_Buycraft_Logs_260.csv (49.95 KB),09/03/2018,Minecraft
FactionsLab_emails.csv (34.18 KB),09/03/2018,Minecraft
Iratus_Buycraft_logs (2).txt (367.12 KB),09/03/2018,Minecraft
MapleCraft_11k_IPS.txt (669.33 KB),09/03/2018,Minecraft
StaticPrison_Buycraft_Logs_260.txt (48.71 KB),09/03/2018,Minecraft
AviatorCraft_ForumSQL.txt (20.65 MB),09/03/2018,Minecraft
VeltPvP_IPs_35k.csv (2.31 MB),09/03/2018,Minecraft
RoyaltyPvP_E-Mails_1k.txt (38.03 KB),09/03/2018,Minecraft
Teamspeak - Minemenclub (2).txt (82.44 KB),09/03/2018,Minecraft
TheBigDigMC_E-Mails_5.8k.txt (199.00 KB),09/03/2018,Minecraft
BanterUHC_Buycraft_Logs_470.txt (110.42 KB),09/03/2018,Minecraft
PEforums.txt (9.57 MB),09/03/2018,Minecraft
iPvP_PayPal_Logs_9k.csv (3.09 MB),09/03/2018,Minecraft
DarkFadePvP_Buycraft_Logs_30.txt (7.75 KB),09/03/2018,Minecraft
EpsilonMC_Forums.txt (2).txt (278.50 KB),09/03/2018,Minecraft
frozencraft.ru_38.5k.txt (3.21 MB),09/03/2018,Minecraft
CentrixPvP_E-Mails_10.3k.txt (353.50 KB),09/03/2018,Minecraft
JawsPvP_Ips_1k (2).txt (167.77 KB),09/03/2018,Minecraft
sand-craft.ru_5k.txt (366.24 KB),09/03/2018,Minecraft
Scumbags Teamspeak 2.3k (1).txt (197.38 KB),09/03/2018,Minecraft
VileMC_2 (1).txt (610.19 KB),09/03/2018,Minecraft
chearful.ninja_Logins_450.txt (40.71 KB),09/03/2018,Minecraft
TheVace.Net_Emails_DB.txt (399.42 KB),09/03/2018,Minecraft
iPvP_Database.txt (2.01 MB),09/03/2018,Minecraft
Desteria_E-Mails_25.9k.txt (886.16 KB),09/03/2018,Minecraft
Harambe_Ghost_Client_140.txt (5.61 KB),09/03/2018,Minecraft
IslandClash_Buycraft_Logs_2.8k.txt (646.51 KB),09/03/2018,Minecraft
FunCraft_E-mails_Passwords (2).txt (4.43 MB),09/03/2018,Minecraft
SaiCoPvP_E-Mails_8.3k.txt (277.72 KB),09/03/2018,Minecraft
iPvp_Buycraft_Logs_26k (2).txt (3.83 MB),09/03/2018,Minecraft
Desteria_900k (4).txt (195.26 MB),09/03/2018,Minecraft
RSMV_Buycraft_Logs_120.txt (22.67 KB),09/03/2018,Minecraft
weguccia.teamspeak3.com.txt (198.14 KB),09/03/2018,Minecraft
Towelliee.com_Emails_DB.txt (454.85 KB),09/03/2018,Minecraft
cristalix.ru_72.8k.csv (5.59 MB),09/03/2018,Minecraft
ValuxNetworkBuycraft.txt (62.09 KB),09/03/2018,Minecraft
VardenGalaxy_IPs_102.txt (2.45 KB),09/03/2018,Minecraft
Saico_E-mails.txt (302.09 KB),09/03/2018,Minecraft
fadehost.com_2.9k.txt (215.38 KB),09/03/2018,Minecraft
faithful ts (2).txt (195.79 KB),09/03/2018,Minecraft
FrontierFactions_TeamSpeak_IPs_730.txt (65.50 KB),09/03/2018,Minecraft
IonCraft_Buycraft_2k (2).txt (305.91 KB),09/03/2018,Minecraft
EscapeRestart.com_Emails_DB.txt (214.03 KB),09/03/2018,Minecraft
Zolus_IPs_2.7k.txt (60.91 KB),09/03/2018,Minecraft
Faithful_Buycraft.txt (1.92 MB),09/03/2018,Minecraft
EnforcedMC_Buycraft_Logs_1.3k.txt (256.49 KB),09/03/2018,Minecraft
Blockedup_Emails_DB.csv (465.90 KB),09/03/2018,Minecraft
CrossFire_1k.txt (50.98 KB),09/03/2018,Minecraft
db_leak_#habblah.txt (11.67 KB),09/03/2018,Minecraft
acehcf_ips.txt (11.68 KB),09/03/2018,Minecraft
ViperHCF_Forums_19k.txt (1.35 MB),09/03/2018,Minecraft
SimplyHCF_aka_OxPvP_Buycraft.csv (2).txt (137.26 KB),09/03/2018,Minecraft
EmpireMinecraft_Emails_DB.txt (288.92 KB),09/03/2018,Minecraft
MC-Central_IPs_13mil.txt (294.43 MB),09/03/2018,Minecraft
cristalix.ru_72.8k.txt (5.66 MB),09/03/2018,Minecraft
Shotbow_Staff_IPs_3.2k.txt (79.82 KB),09/03/2018,Minecraft
koeberg_nuclear_powerstation_database_dump.txt (13.83 KB),09/03/2018,Minecraft
candypvp.fr_3k.txt (313.80 KB),09/03/2018,Minecraft
Teamspeak - Gucci.txt (3.85 KB),09/03/2018,Minecraft
DarkFadePvP_Buycraft_Logs_30.csv (7.92 KB),09/03/2018,Minecraft
Fadegen.pw.txt (99.50 KB),09/03/2018,Minecraft
arcane_teamspeak_11k.txt (295.52 KB),09/03/2018,Minecraft
Iratus_ips_10k (2).txt (589.46 KB),09/03/2018,Minecraft
Swansons Teamspeak.csv (19.91 KB),09/03/2018,Minecraft
Towelliee.com_Emails_DB.csv (429.29 KB),09/03/2018,Minecraft
vimecraft.ru_1k.txt (77.55 KB),09/03/2018,Minecraft
dinastymceu.txt (224.88 KB),09/03/2018,Minecraft
ARKANIAZ_mds_35k.txt.csv (5.07 MB),09/03/2018,Minecraft
WaffleMinecraft_E-Mails_35k.txt (1.21 MB),09/03/2018,Minecraft
ChooChoosMC_E-Mails_1k.txt (55.08 KB),09/03/2018,Minecraft
"delta stresser.txt (1,012.37 KB)",09/03/2018,Minecraft
SQLI_NIGGGA_1.txt (190.85 KB),09/03/2018,Minecraft
RoyaltyPvP_IPs_11k.txt (687.36 KB),09/03/2018,Minecraft
HydraPvP_IPs_9.4k.txt (467.50 KB),09/03/2018,Minecraft
acehcf_ips.csv (10.91 KB),09/03/2018,Minecraft
VortexMC_Buycraft_DB.txt (17.05 KB),09/03/2018,Minecraft
AviatorCraft_Buycraft_Logs.txt (389.25 KB),09/03/2018,Minecraft
SpellPvP_IPs_285.txt (20.18 KB),09/03/2018,Minecraft
Scumbags Teamspeak 2.3k (1).csv (198.14 KB),09/03/2018,Minecraft
op_cpps_db_leak.txt (31.22 KB),09/03/2018,Minecraft
dinastymc.txt (224.87 KB),09/03/2018,Minecraft
DBZ MINECRAFT ACC'S.txt (373.16 KB),09/03/2018,Minecraft
buzzplex_E-Mails_100.txt (3.63 KB),09/03/2018,Minecraft
Aus-Craft.net_Emails_DB.csv (57.96 KB),09/03/2018,Minecraft
Koonkraft_buycraft_db.csv (2.72 MB),09/03/2018,Minecraft
ChromeMC_Buycraft_DB.txt (5.04 KB),09/03/2018,Minecraft
Kooncraft_buycraft_logs (2).txt (2.66 MB),09/03/2018,Minecraft
CraftRealms_Buycraft_DB_2012.csv (3.43 KB),09/03/2018,Minecraft
AviatorCraft_Buycraft_Logs_2.2k.csv (407.83 KB),09/03/2018,Minecraft
spooker.cc_310.txt (38.88 KB),09/03/2018,Minecraft
arkaniaz_mds35k.txt (5.26 MB),09/03/2018,Minecraft
FaithfulHCF_Buycraft_Logs_1.8k.txt (220.23 KB),09/03/2018,Minecraft
Blockmadness.com_Buycraft_DB.txt (25.07 KB),09/03/2018,Minecraft
Aton2.com_Buycraft_DB.txt (104.30 KB),09/03/2018,Minecraft
EnderCraft_BuyCraft_DB.csv (79.50 KB),09/03/2018,Minecraft
HCNations.txt (38.20 KB),09/03/2018,Minecraft
VeltPvP_E-Mails_6k.txt (190.84 KB),09/03/2018,Minecraft
ospvp.txt (1.94 MB),09/03/2018,Minecraft
insanity2_.txt (139.88 KB),09/03/2018,Minecraft
Aus-Craft.net_Emails_DB.txt (61.29 KB),09/03/2018,Minecraft
AnarchyHCF_IPs_480.txt (11.69 KB),09/03/2018,Minecraft
EscapeRestart.com_Emails_DB.csv (202.58 KB),09/03/2018,Minecraft
VeltPvP_IPs_35k.txt (2.28 MB),09/03/2018,Minecraft
Violence Teamspeak.csv (10.49 KB),09/03/2018,Minecraft
ChromeMC_Buycraft_DB.csv (5.25 KB),09/03/2018,Minecraft
Blockedup_Emails_DB.txt (492.16 KB),09/03/2018,Minecraft
mcsniper.txt (243.70 KB),09/03/2018,Minecraft
xDSquare_410.txt (32.38 KB),09/03/2018,Minecraft
Intelyc_E-Mails_40.txt (1.34 KB),09/03/2018,Minecraft
CraftRealms_Buycraft_DB_2012.txt (3.24 KB),09/03/2018,Minecraft
MC-Bazaar_E-Mails_130.txt (4.13 KB),09/03/2018,Minecraft
play.epicgaming.nl_Buycraft.txt (22.61 KB),09/03/2018,Minecraft
EnderCraft_BuyCraft_DB.txt (75.93 KB),09/03/2018,Minecraft
clubpenguinrewritten.pw_database_breach_#2.txt (2.92 KB),09/03/2018,Minecraft
fastalts.txt (34.57 KB),09/03/2018,Minecraft
HCRiots_Forums_Leak (1).txt (6.54 KB),09/03/2018,Minecraft
CraftBlock_E-Mails_2.5k.txt (85.52 KB),09/03/2018,Minecraft
Sarefine_IPs_10k.txt (237.80 KB),09/03/2018,Minecraft
TeaClient_Accounts_50.txt (1.70 KB),09/03/2018,Minecraft
distanymc.eu.csv (226.65 KB),09/03/2018,Minecraft
Aton2.com_Buycraft_DB.csv (109.34 KB),09/03/2018,Minecraft
iPvP_PayPal_Logs_9k.txt (2.28 MB),09/03/2018,Minecraft
VapeDatabase.txt (1.23 MB),09/03/2018,Minecraft
craft-apple.txt (5.54 MB),09/03/2018,Minecraft
AviatorCraft_ForumSQL.csv (7.82 MB),09/03/2018,Minecraft
fadehost.com_2.9k.csv (191.73 KB),09/03/2018,Minecraft
SuperFunTime_Buycraft_Logs_7.5k.txt (1.11 MB),09/03/2018,Minecraft
VortexMC_Buycraft_DB.csv (17.98 KB),09/03/2018,Minecraft
HQFactions_IPs_230.txt (5.55 KB),09/03/2018,Minecraft
Koonkraft_buycraft_db.txt (2.61 MB),09/03/2018,Minecraft
iPvP_IPs_Logs_34k.txt (2.01 MB),09/03/2018,Minecraft
GoaCraft_E-Mails_1k.txt (33.54 KB),09/03/2018,Minecraft
darcecraft.com_10k.txt (814.65 KB),09/03/2018,Minecraft
FaithfulHCF_Buycraft_Logs_30k.csv (5.32 MB),09/03/2018,Minecraft
Best of MC Database.txt (517.42 KB),09/03/2018,Minecraft
Intelyc_E-Mails_40.csv (1.34 KB),09/03/2018,Minecraft
LegitPlay_200k.txt (40.93 MB),09/03/2018,Minecraft
full_database_talahost.com.txt (337.47 KB),09/03/2018,Minecraft
Mc-Bazaar.txt (4.14 KB),09/03/2018,Minecraft
HCGames_IPs_57.3k.txt (3.34 MB),09/03/2018,Minecraft
beastfaction_buycraft.txt (439.21 KB),09/03/2018,Minecraft
vape.gg_Payment_Information_4.5k.txt (4.24 MB),09/03/2018,Minecraft
SpainPvP_E-Mails_9.5k.txt (326.11 KB),09/03/2018,Minecraft
Best of MC Database.csv (520.50 KB),09/03/2018,Minecraft
astro_buycraft_130.txt (31.83 KB),09/03/2018,Minecraft
Violence Teamspeak.txt (10.85 KB),09/03/2018,Minecraft
TheVace.Net_Emails_DB.csv (377.16 KB),09/03/2018,Minecraft
faithful IP.txt (2.33 MB),09/03/2018,Minecraft
iratus-forums-and-ips.txt (36.31 MB),09/03/2018,Minecraft
dBZ MINECRAFT ACC.txt (373.15 KB),09/03/2018,Minecraft
RSMV_Buycraft_Logs.txt (27.54 KB),09/03/2018,Minecraft
ARKANIAZ_mds_35k.txt.txt (5.26 MB),09/03/2018,Minecraft
iPvP_PayPal_Logs_13.3k.txt (3.20 MB),09/03/2018,Minecraft
DatPixel_Emails_DB.txt (0.00 B),09/03/2018,Minecraft
SuperFunTime_Buycraft_Logs_7.5k.csv (1.15 MB),09/03/2018,Minecraft
DBZ MINECRAFT ACC'S.csv (367.40 KB),09/03/2018,Minecraft
RSMV_Buycraft_Logs_120.csv (27.54 KB),09/03/2018,Minecraft
sbcglobal.net.txt (112.60 KB),09/03/2018,Minecraft
FaithfulHCF_IPs_34k.txt (2.02 MB),09/03/2018,Minecraft
Frontier_Ips (2).txt (146.34 KB),09/03/2018,Minecraft
VitalityHCF_IPs_60.txt (1.45 KB),09/03/2018,Minecraft
FactionsLab_emails.txt (34.18 KB),09/03/2018,Minecraft
dregionc_forum_user.sql.xz (548.54 KB),22/05/2017,Smaller DBs
darkstar-gaming.com_vb_January2017.txt (128.58 KB),22/05/2017,Smaller DBs
mrjoke.sql (859.05 KB),22/05/2017,Smaller DBs
ipb_runebit.txt (105.52 KB),22/05/2017,Smaller DBs
portalcharacters.com - skylanders.users 1.11.2016.txt (724.10 KB),22/05/2017,Smaller DBs
India Inc.txt (49.13 KB),22/05/2017,Smaller DBs
RecklessNetwork_Users.sql (1.01 MB),22/05/2017,Smaller DBs
md5_ziotic.txt (6.97 KB),22/05/2017,Smaller DBs
nirosoluzioni.txt (255.00 B),22/05/2017,Smaller DBs
CheapAssGamer.com_vB_385k_July_2015.zip (17.04 MB),22/05/2017,Smaller DBs
w0rmws.tar.gz (2.83 MB),22/05/2017,Smaller DBs
XRForums.net_Users_Summer_2011.sql (1.47 MB),22/05/2017,Smaller DBs
wobhosting_admin.db.xz (215.00 B),22/05/2017,Smaller DBs
lab_phpaudit.sql (74.38 KB),22/05/2017,Smaller DBs
accountsupplier.com db.sql (133.28 KB),22/05/2017,Smaller DBs
unitedcashback.com DataBase.txt (1.88 MB),22/05/2017,Smaller DBs
asylum.db.xz (703.28 KB),22/05/2017,Smaller DBs
calltermination.com_January2017.txt (490.50 KB),22/05/2017,Smaller DBs
GameNex.us.sql (46.35 KB),22/05/2017,Smaller DBs
XZ Utils.7z (5.61 MB),22/05/2017,Smaller DBs
Hypergen.ch DB 5.18.16.sql (4.81 MB),22/05/2017,Smaller DBs
runescaperealm.sql.xz (742.18 KB),22/05/2017,Smaller DBs
leakbase.pw_access_log_with_cleartext_passwords.txt (98.90 KB),22/05/2017,Smaller DBs
viruzmafia.sql.xz (39.14 KB),22/05/2017,Smaller DBs
bluehost.com.txt (9.23 KB),22/05/2017,Smaller DBs
ichatlatino.txt (129.26 KB),22/05/2017,Smaller DBs
aol.com.txt (10.72 MB),22/05/2017,Smaller DBs
143vpn db.7z (37.44 KB),22/05/2017,Smaller DBs
0sec-db.txt (51.38 MB),22/05/2017,Smaller DBs
tolarys.com.txt (252.83 KB),22/05/2017,Smaller DBs
Hackforums.net (200k users).sql.gz (30.07 MB),22/05/2017,Smaller DBs
ilink.txt (77.17 KB),22/05/2017,Smaller DBs
networkgaming_2013_04_16.sql (5.90 MB),22/05/2017,Smaller DBs
steamgamers.com_29-12-2012-20-47-58.sql.xz (1.20 MB),22/05/2017,Smaller DBs
mckeownandwood.com.txt (131.46 KB),22/05/2017,Smaller DBs
LegacyPlainTXT.txt (155.73 KB),22/05/2017,Smaller DBs
MCLeaks.net_plain_2016-11.txt.7z (27.12 KB),22/05/2017,Smaller DBs
linked-hosting.sql (13.20 MB),22/05/2017,Smaller DBs
AdminDiscussion.com.sql (9.45 MB),22/05/2017,Smaller DBs
16k xenforo-IPB backdoor dump.txt (227.92 KB),22/05/2017,Smaller DBs
mobstub.com.txt (7.22 MB),22/05/2017,Smaller DBs
widespreadforums.com.db.users.sql.xz (8.09 KB),22/05/2017,Smaller DBs
1394store.com.txt (630.26 KB),22/05/2017,Smaller DBs
dump_p-www-direkt.gema.de_interP1_users_16-07-2011-05-53-34.sql.xz (2.40 MB),22/05/2017,Smaller DBs
ubers.org_users_09_20_2012.txt.xz (434.30 KB),22/05/2017,Smaller DBs
vdoss.sql.xz (41.66 KB),22/05/2017,Smaller DBs
shardgaming_admin.db.xz (363.00 B),22/05/2017,Smaller DBs
jetsfansunited.txt (628.56 KB),22/05/2017,Smaller DBs
freehack.com_users_dec_2010.txt.xz (2.38 MB),22/05/2017,Smaller DBs
izkis.txt (11.43 KB),22/05/2017,Smaller DBs
8teenxxx.com .txt (45.75 KB),22/05/2017,Smaller DBs
